# Generated by scripts/build_other_language_place_names.py. Do not edit by hand.
# Names from Wikipedia (CC BY-SA 4.0):
#   https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
#   https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
#   https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
#   https://en.wikipedia.org/wiki/List_of_places_in_Switzerland
other_language_place_name;language;meteoswiss_point_name;source
Châtillon-le-Bas;fr;Niedergesteln;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Novena;it;Nufenen;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Nueinas;rm;Nufenen;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Alpsu;rm;Oberalppass;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Cuolm d'Ursera;rm;Oberalppass;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Cuolm d’Ursera;rm;Oberalppass;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Piz Tgietschen;rm;Oberalpstock;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Châtillon-le-Haut;fr;Obergesteln;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Pass dal Fuorn;rm;Ofenpass;https://de.wikipedia.org/wiki/Liste_deutscher_Bezeichnungen_von_Schweizer_Orten
Luorscha;rm;Olivone ;https://de.wikipedia.org/wiki/Liste_rätoromanischer_Bezeichnungen_von_Schweizer_Orten
Olte;fr;Olten;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
Orpond;fr;Orpund;https://de.wikipedia.org/wiki/Liste_französischer_Bezeichnungen_von_Schweizer_Orten
